,name,contents
590,들싹호다,들썩이다.
6014,등-곱새,⇒고부랭이
5908,등-곱쟁이,⇒등곱새
3995,등-굽새,등 구부러진 것
3288,등-너출,등넝쿨. 등덩쿨
5453,등-돌,드는 힘을 겨루는 둥근 돌
5123,등-테,언치. 땀
5451,등-판,등경
5450,등-피,⇒남푸등
4187,등너출,등 넝쿨
2294,등물-놓음,목물
4692,등부뜬-갈리,돼지 가슴뼈 붙은 한쪽 갈비
4704,등부뜬-갈리,가슴뼈 붙은 한쪽 갈비
5452,등지-친,방사오리를 매는 끈
5752,등지게,‘적삼’을 얕잡은 말
987,등창물,"맑은 샘이 아무리 가물어도 바닥을 드러내지 않는다 하여 붙여진 이름
"
2293,듸,데. 바(所)
368,디깍호다,단단하다.
5103,디린-배,새끼로 다시 단단하게 꼰 굵은 새끼
589,디밀다,안으로 밀어넣다.
3463,탄약,탕약(湯藥)
